발생경찰서,지역관서,발생일시,발생일자,월,발생시간대,요일구분,경기도,고양시,덕양구,행정동,주소,발생장소,범죄수법(발생),죄명
경기고양경찰서,행신지구대,2024-12-31 22:25:00,2024-12-31,12,22시,3-화,경기,고양시,덕양구,토당동,고양시 덕양구 토당동 ,노상,기타(기타절도),절도
경기고양경찰서,행신3파출소,2024-12-31 18:00:00,2024-12-31,12,18시,3-화,경기,고양시,덕양구,행신동,고양시 덕양구 행신동 903번지 ,기타,,폭력
경기고양경찰서,화정지구대,2024-12-31 13:00:00,2024-12-31,12,13시,3-화,경기,고양시,덕양구,화정동,고양시 덕양구 화정동 697-1번지 ,기타,,폭력
경기고양경찰서,고양파출소,2024-12-31 12:00:00,2024-12-31,12,12시,3-화,경기,고양시,덕양구,대자동,고양시 덕양구 대자동 217-1번지 ,기타,,폭력
경기고양경찰서,원당지구대,2024-12-31 04:00:00,2024-12-31,12,04시,3-화,경기,고양시,덕양구,주교동,고양시 덕양구 주교동 617-8번지 ,기타,,폭력
경기고양경찰서,행신3파출소,2024-12-31 03:50:00,2024-12-31,12,03시,3-화,경기,고양시,덕양구,행신동,고양시 덕양구 행신동 956번지 ,기타,,폭력
경기고양경찰서,고양파출소,2024-12-31 03:00:00,2024-12-31,12,03시,3-화,경기,고양시,덕양구,대자동,고양시 덕양구 대자동 271-8번지 ,기타,,폭력
경기고양경찰서,관산파출소,2024-12-31 02:00:00,2024-12-31,12,02시,3-화,경기,고양시,덕양구,내유동,고양시 덕양구 내유동 587-9번지 ,다세대·원룸·연립가옥,,폭력
경기고양경찰서,화전파출소,2024-12-31 00:40:00,2024-12-31,12,00시,3-화,경기,고양시,덕양구,향동동,고양시 덕양구 향동동 407번지 ,기타,기타(기타절도),절도
경기고양경찰서,고양파출소,2024-12-30 23:40:00,2024-12-30,12,23시,2-월,경기,고양시,덕양구,대자동,고양시 덕양구 대자동 ,기타,,폭력
경기고양경찰서,원당지구대,2024-12-30 23:30:00,2024-12-30,12,23시,2-월,경기,고양시,덕양구,주교동,고양시 덕양구 주교동 308-2번지 ,기타,,폭력
경기고양경찰서,행신지구대,2024-12-30 15:00:00,2024-12-30,12,15시,2-월,경기,고양시,덕양구,행신동,고양시 덕양구 행신동 771번지 ,기타,기타(기타절도),절도
경기고양경찰서,관산파출소,2024-12-30 09:15:00,2024-12-30,12,09시,2-월,경기,고양시,덕양구,관산동,고양시 덕양구 관산동 685-77번지 ,주택,,폭력
경기고양경찰서,원당지구대,2024-12-30 02:59:00,2024-12-30,12,02시,2-월,경기,고양시,덕양구,성사동,고양시 덕양구 성사동 502-5번지 ,기타,,폭력
경기고양경찰서,신도지구대,2024-12-30 00:00:00,2024-12-30,12,00시,2-월,경기,고양시,덕양구,삼송동,고양시 덕양구 삼송동 55-2번지 ,노상,오토바이절도,절도
경기고양경찰서,행신지구대,2024-12-30 00:00:00,2024-12-30,12,00시,2-월,경기,고양시,덕양구,행신동,고양시 덕양구 행신동 982번지 ,아파트,,폭력
경기고양경찰서,고양파출소,2024-12-29 23:00:00,2024-12-29,12,23시,1-일,경기,고양시,덕양구,고양동,고양시 덕양구 고양동 1121번지 ,기타,,폭력
경기고양경찰서,행신3파출소,2024-12-29 21:40:00,2024-12-29,12,21시,1-일,경기,고양시,덕양구,행신동,고양시 덕양구 행신동 214-36번지 ,기타,,폭력
경기고양경찰서,원당지구대,2024-12-29 18:40:00,2024-12-29,12,18시,1-일,경기,고양시,덕양구,주교동,고양시 덕양구 주교동 621-12번지 ,기타,,폭력
경기고양경찰서,화전파출소,2024-12-29 17:00:00,2024-12-29,12,17시,1-일,경기,고양시,덕양구,덕은동,고양시 덕양구 덕은동 658번지 ,기타,기타(기타절도),절도
경기고양경찰서,행신지구대,2024-12-29 14:00:00,2024-12-29,12,14시,1-일,경기,고양시,덕양구,행신동,고양시 덕양구 행신동 982번지 ,기타,,폭력
경기고양경찰서,행신지구대,2024-12-29 13:55:00,2024-12-29,12,13시,1-일,경기,고양시,덕양구,행주내동,고양시 덕양구 행주내동 8-2번지 ,기타,집주변잡물절도,절도
경기고양경찰서,화정지구대,2024-12-29 13:20:00,2024-12-29,12,13시,1-일,경기,고양시,덕양구,화정동,고양시 덕양구 화정동 858번지 ,기타,자전거절도,절도
경기고양경찰서,원당지구대,2024-12-29 08:22:00,2024-12-29,12,08시,1-일,경기,고양시,덕양구,성사동,고양시 덕양구 성사동 692-70번지 ,기타,,폭력
경기고양경찰서,화정지구대,2024-12-29 04:15:00,2024-12-29,12,04시,1-일,경기,고양시,덕양구,화정동,고양시 덕양구 화정동 968-1번지 ,기타,,폭력
경기고양경찰서,화전파출소,2024-12-29 04:00:00,2024-12-29,12,04시,1-일,경기,고양시,덕양구,향동동,고양시 덕양구 향동동 407번지 ,기타,기타(기타절도),절도
경기고양경찰서,도래울지구대,2024-12-28 22:00:00,2024-12-28,12,22시,7-토,경기,고양시,덕양구,원흥동,고양시 덕양구 원흥동 660-2번지 ,기타,,폭력
경기고양경찰서,화전파출소,2024-12-28 20:30:00,2024-12-28,12,20시,7-토,경기,고양시,덕양구,향동동,고양시 덕양구 향동동 396번지 ,기타,,폭력
경기고양경찰서,신도지구대,2024-12-28 20:10:00,2024-12-28,12,20시,7-토,경기,고양시,덕양구,동산동,고양시 덕양구 동산동 370번지 ,대형할인매장,기타(기타절도),절도
경기고양경찰서,신도지구대,2024-12-28 19:30:00,2024-12-28,12,19시,7-토,경기,고양시,덕양구,삼송동,고양시 덕양구 삼송동 306번지 ,아파트,기타(기타절도),절도
경기고양경찰서,화정지구대,2024-12-28 18:25:00,2024-12-28,12,18시,7-토,경기,고양시,덕양구,화정동,고양시 덕양구 화정동 1098번지 ,기타,,폭력
경기고양경찰서,신도지구대,2024-12-28 17:59:00,2024-12-28,12,17시,7-토,경기,고양시,덕양구,삼송동,고양시 덕양구 삼송동 317번지 ,기타,기타(특수물절도),절도
경기고양경찰서,행신3파출소,2024-12-28 17:20:00,2024-12-28,12,17시,7-토,경기,고양시,덕양구,행신동,고양시 덕양구 행신동 1080-3번지 ,기타,,폭력
경기고양경찰서,화전파출소,2024-12-28 15:45:00,2024-12-28,12,15시,7-토,경기,고양시,덕양구,향동동,고양시 덕양구 향동동 427번지 ,기타,기타(기타절도),절도
경기고양경찰서,화정지구대,2024-12-28 14:06:00,2024-12-28,12,14시,7-토,경기,고양시,덕양구,화정동,고양시 덕양구 화정동 1135번지 ,기타,,폭력
경기고양경찰서,신도지구대,2024-12-28 12:49:00,2024-12-28,12,12시,7-토,경기,고양시,덕양구,동산동,고양시 덕양구 동산동 370번지 ,의류판매점,상점물건채기,절도
경기고양경찰서,행신지구대,2024-12-28 12:35:00,2024-12-28,12,12시,7-토,경기,고양시,덕양구,행주내동,고양시 덕양구 행주내동 138-3번지 ,기타,기타(기타절도),절도
경기고양경찰서,행신3파출소,2024-12-28 12:12:00,2024-12-28,12,12시,7-토,경기,고양시,덕양구,행신동,고양시 덕양구 행신동 217-1번지 ,기타,,폭력
경기고양경찰서,고양파출소,2024-12-28 09:18:00,2024-12-28,12,09시,7-토,경기,고양시,덕양구,고양동,고양시 덕양구 고양동 195-8번지 ,기타,,폭력
경기고양경찰서,신도지구대,2024-12-28 01:34:00,2024-12-28,12,01시,7-토,경기,고양시,덕양구,삼송동,고양시 덕양구 삼송동 291번지 ,기타,,폭력
경기고양경찰서,화정지구대,2024-12-28 01:20:00,2024-12-28,12,01시,7-토,경기,고양시,덕양구,화정동,고양시 덕양구 화정동 952번지 ,기타,,폭력
경기고양경찰서,원당지구대,2024-12-27 20:30:00,2024-12-27,12,20시,6-금,경기,고양시,덕양구,성사동,고양시 덕양구 성사동 317-16번지 ,기타,,폭력
경기고양경찰서,원당지구대,2024-12-27 17:40:00,2024-12-27,12,17시,6-금,경기,고양시,덕양구,주교동,고양시 덕양구 주교동 605-8번지 ,기타,,폭력
경기고양경찰서,도래울지구대,2024-12-27 17:33:00,2024-12-27,12,17시,6-금,경기,고양시,덕양구,도내동,고양시 덕양구 도내동 1107번지 ,기타,기타(기타절도),절도
경기고양경찰서,원당지구대,2024-12-27 17:00:00,2024-12-27,12,17시,6-금,경기,고양시,덕양구,성사동,고양시 덕양구 성사동 189-8번지 ,공사장,기타(기타절도),절도
경기고양경찰서,도래울지구대,2024-12-27 15:54:00,2024-12-27,12,15시,6-금,경기,고양시,덕양구,도내동,고양시 덕양구 도내동 1090번지 ,기타,영업점털이,절도
경기고양경찰서,행신지구대,2024-12-27 09:10:00,2024-12-27,12,09시,6-금,경기,고양시,덕양구,행주내동,고양시 덕양구 행주내동 500-2번지 ,주차장,,폭력
경기고양경찰서,도래울지구대,2024-12-27 00:00:00,2024-12-27,12,00시,6-금,경기,고양시,덕양구,도내동,고양시 덕양구 도내동 1091번지 ,노상,,폭력
경기고양경찰서,신도지구대,2024-12-27 00:00:00,2024-12-27,12,00시,6-금,경기,고양시,덕양구,신원동,고양시 덕양구 신원동 625-2번지 ,상점,영업점털이,절도
경기고양경찰서,도래울지구대,2024-12-27 00:00:00,2024-12-27,12,00시,6-금,경기,고양시,덕양구,용두동,고양시 덕양구 용두동 568-8번지 ,세차장,,폭력
경기고양경찰서,화전파출소,2024-12-26 23:30:00,2024-12-26,12,23시,5-목,경기,고양시,덕양구,덕은동,고양시 덕양구 덕은동 712번지 ,기타,,폭력
